"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 10:37:55 GMT 2022","Wed Dec 14 10:37:55 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Wed Dec 14 10:37:52 GMT 2022","Wed Dec 14 10:37:52 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"passed","Wed Dec 14 10:37:55 GMT 2022","Wed Dec 14 10:37:55 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"broken","Wed Dec 14 10:37:57 GMT 2022","Wed Dec 14 10:37:57 GMT 2022","777","tests","test_steps","","","","test_decorator_steps",""
"broken","Wed Dec 14 10:37:56 GMT 2022","Wed Dec 14 10:37:57 GMT 2022","778","tests","test_steps","","","","test_dynamic_steps",""
"passed","Wed Dec 14 10:37:55 GMT 2022","Wed Dec 14 10:37:55 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Wed Dec 14 10:37:55 GMT 2022","Wed Dec 14 10:37:56 GMT 2022","780","tests","test_selene","","","","test_github",""
"broken","Wed Dec 14 10:37:52 GMT 2022","Wed Dec 14 10:37:53 GMT 2022","1592","tests","test_homework","","","","test_github",""
"broken","Wed Dec 14 10:37:53 GMT 2022","Wed Dec 14 10:37:54 GMT 2022","784","tests","test_homework","","","","test_dynamic_steps",""
"broken","Wed Dec 14 10:37:54 GMT 2022","Wed Dec 14 10:37:55 GMT 2022","781","tests","test_homework","","","","test_decorator_steps",""
